,Filmes,ano,Nota,Diretores e Roteiristas
0,Um Sonho de Liberdade,1994,9.2,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
1,O Poderoso Chefão,1972,9.1,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
2,O Poderoso Chefão II,1974,9.0,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
3,Batman: O Cavaleiro das Trevas,2008,9.0,"Christopher Nolan (dir.), Christian Bale, Heath Ledger"
4,12 Homens e uma Sentença,1957,8.9,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
5,A Lista de Schindler,1993,8.9,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
6,O Senhor dos Anéis: O Retorno do Rei,2003,8.9,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
7,Pulp Fiction: Tempo de Violência,1994,8.8,"Quentin Tarantino (dir.), John Travolta, Uma Thurman"
8,Três Homens em Conflito,1966,8.8,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
9,O Senhor dos Anéis: A Sociedade do Anel,2001,8.8,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
10,Clube da Luta,1999,8.7,"David Fincher (dir.), Brad Pitt, Edward Norton"
11,Forrest Gump: O Contador de Histórias,1994,8.7,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
12,A Origem,2010,8.7,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
13,O Senhor dos Anéis: As Duas Torres,2002,8.7,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
14,O Império Contra-Ataca,1980,8.7,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
15,Matrix,1999,8.7,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
16,Os Bons Companheiros,1990,8.6,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
17,Um Estranho no Ninho,1975,8.6,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
18,Os Sete Samurais,1954,8.6,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
19,Seven: Os Sete Crimes Capitais,1995,8.6,"David Fincher (dir.), Morgan Freeman, Brad Pitt"
20,Homem-Aranha: Sem Volta para Casa,2021,8.6,"Jon Watts (dir.), Tom Holland, Zendaya"
21,O Silêncio dos Inocentes,1991,8.6,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"
22,Cidade de Deus,2002,8.6,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino"
23,A Felicidade Não se Compra,1946,8.6,"Frank Capra (dir.), James Stewart, Donna Reed"
24,A Vida é Bela,1997,8.6,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi"
25,O Resgate do Soldado Ryan,1998,8.6,"Steven Spielberg (dir.), Tom Hanks, Matt Damon"
26,Guerra nas Estrelas,1977,8.5,"George Lucas (dir.), Mark Hamill, Harrison Ford"
27,Interestelar,2014,8.5,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway"
28,A Viagem de Chihiro,2001,8.5,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette"
29,À Espera de um Milagre,1999,8.5,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan"
30,Parasita,2019,8.5,"Bong Joon Ho (dir.), Kang-ho Song, Sun-kyun Lee"
31,O Profissional,1994,8.5,"Luc Besson (dir.), Jean Reno, Gary Oldman"
32,Harakiri,1962,8.5,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama"
33,O Pianista,2002,8.5,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann"
34,O Exterminador do Futuro 2 - O Julgamento Final,1991,8.5,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
35,De Volta para o Futuro,1985,8.5,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd"
36,Os Suspeitos,1995,8.5,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne"
37,Psicose,1960,8.5,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh"
38,O Rei Leão,1994,8.5,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons"
39,Tempos Modernos,1936,8.5,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
40,Túmulo dos Vagalumes,1988,8.5,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi"
41,A Outra História Americana,1998,8.5,"Tony Kaye (dir.), Edward Norton, Edward Furlong"
42,Whiplash: Em Busca da Perfeição,2014,8.5,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons"
43,Gladiador,2000,8.5,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix"
44,Luzes da Cidade,1931,8.5,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill"
45,Os Infiltrados,2006,8.5,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon"
46,Intocáveis,2011,8.5,"Olivier Nakache (dir.), François Cluzet, Omar Sy"
47,O Grande Truque,2006,8.5,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman"
48,Casablanca,1942,8.4,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman"
49,Era uma Vez no Oeste,1968,8.4,"Sergio Leone (dir.), Henry Fonda, Charles Bronson"
50,Janela Indiscreta,1954,8.4,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly"
51,Cinema Paradiso,1988,8.4,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale"
52,Alien - O 8º Passageiro,1979,8.4,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt"
53,Apocalypse Now,1979,8.4,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando"
54,Amnésia,2000,8.4,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss"
55,Os Caçadores da Arca Perdida,1981,8.4,"Steven Spielberg (dir.), Harrison Ford, Karen Allen"
56,O Grande Ditador,1940,8.4,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
57,Django Livre,2012,8.4,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz"
58,A Vida dos Outros,2006,8.4,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck"
59,Glória Feita de Sangue,1957,8.4,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker"
60,Crepúsculo dos Deuses,1950,8.4,"Billy Wilder (dir.), William Holden, Gloria Swanson"
61,WALL·E,2008,8.4,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight"
62,Vingadores: Guerra Infinita,2018,8.4,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth"
63,Testemunha de Acusação,1957,8.4,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich"
64,Homem-Aranha no Aranhaverso,2018,8.4,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson"
65,O Iluminado,1980,8.4,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall"
66,Dr. Fantástico,1964,8.4,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott"
67,Princesa Mononoke,1997,8.3,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida"
68,Oldboy,2003,8.3,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-Tae"
69,Coringa,2019,8.3,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro"
70,Your Name.,2016,8.3,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi"
71,Viva: A Vida é uma Festa,2017,8.3,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal"
72,Batman: O Cavaleiro das Trevas Ressurge,2012,8.3,"Christopher Nolan (dir.), Christian Bale, Tom Hardy"
73,Aliens: O Resgate,1986,8.3,"James Cameron (dir.), Sigourney Weaver, Michael Biehn"
74,Era uma Vez na América,1984,8.3,"Sergio Leone (dir.), Robert De Niro, James Woods"
75,Vingadores: Ultimato,2019,8.3,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans"
76,Cafarnaum,2018,8.3,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw"
77,O Barco: Inferno no Mar,1981,8.3,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer"
78,Céu E Inferno,1963,8.3,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada"
79,3 Idiotas,2009,8.3,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan"
80,Toy Story,1995,8.3,"John Lasseter (dir.), Tom Hanks, Tim Allen"
81,Amadeus,1984,8.3,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce"
82,Beleza Americana,1999,8.3,"Sam Mendes (dir.), Kevin Spacey, Annette Bening"
83,Coração Valente,1995,8.3,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau"
84,Bastardos Inglórios,2009,8.3,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger"
85,Gênio Indomável,1997,8.3,"Gus Van Sant (dir.), Robin Williams, Matt Damon"
86,Hamilton,2020,8.3,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo"
87,"Star Wars, Episódio VI: O Retorno do Jedi",1983,8.3,"Richard Marquand (dir.), Mark Hamill, Harrison Ford"
88,Vá e Veja,1985,8.3,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova"
89,2001: Uma Odisséia no Espaço,1968,8.3,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood"
90,Cães de Aluguel,1992,8.3,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth"
91,Como Estrelas na Terra,2007,8.3,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan"
92,Um Corpo que Cai,1958,8.3,"Alfred Hitchcock (dir.), James Stewart, Kim Novak"
93,"M, o Vampiro de Dusseldorf",1931,8.3,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann"
94,A Caça,2012,8.3,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen"
95,Cidadão Kane,1941,8.3,"Orson Welles (dir.), Orson Welles, Joseph Cotten"
96,Réquiem para um Sonho,2000,8.3,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto"
97,Cantando na Chuva,1952,8.3,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor"
98,Intriga Internacional,1959,8.3,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint"
99,Viver,1952,8.3,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko"
100,Brilho Eterno de uma Mente sem Lembranças,2004,8.3,"Michel Gondry (dir.), Jim Carrey, Kate Winslet"
101,Ladrões de Bicicletas,1948,8.3,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola"
102,Lawrence da Arábia,1962,8.3,"David Lean (dir.), Peter O'Toole, Alec Guinness"
103,O Garoto,1921,8.2,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance"
104,Nascido para Matar,1987,8.2,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey"
105,Incêndios,2010,8.2,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin"
106,Dangal,2016,8.2,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar"
107,Se Meu Apartamento Falasse,1960,8.2,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine"
108,Pacto de Sangue,1944,8.2,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck"
109,Metrópolis,1927,8.2,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel"
110,Meu Pai,2020,8.2,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman"
111,A Separação,2011,8.2,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami"
112,Taxi Driver: Motorista de Táxi,1976,8.2,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster"
